kabkota;tahun_2019;tahun_2020;tahun_2021;tahun_2022;tahun_2023;tahun_2024
PACITAN;44,84;43,51;46,64;50,71;51,88;47,7
PONOROGO;55,48;57,99;58,87;57,08;59,01;59,82
TRENGGALEK;54,81;55,24;51,78;52,55;52,1;57,49
TULUNGAGUNG;56,8;58,44;59,7;52,42;58,53;62,87
BLITAR;61,9;56,57;64,02;63,12;66,1;55,59
KEDIRI;56,49;59,38;56,45;57,47;58,7;57,08
MALANG;58,08;59,49;60,28;59,17;63,61;62,11
LUMAJANG;53,1;54,05;52,07;54,65;55,99;54,07
JEMBER;49,91;48,54;49,64;51,26;51,31;51,91
BANYUWANGI;54,6;56,06;57,61;60,22;60,59;58,84
BONDOWOSO;47,02;48,15;50,16;49,48;49,2;51,27
SITUBONDO;55,47;52,39;49,74;52,88;56,34;54,2
PROBOLINGGO;49,1;52,16;51,34;55,34;57,24;53,53
PASURUAN;50,1;51,37;52,67;52,18;53,07;54,29
SIDOARJO;68,48;60,93;62,14;62,02;63,12;65,1
MOJOKERTO;61,78;57,37;57,95;57,06;56,66;60,41
JOMBANG;61,32;61,51;59,46;61,42;61,11;61,82
NGANJUK;61,45;61,4;59,26;53,53;58,04;58,11
MADIUN;61,65;61,1;60,99;54,96;58,51;59,58
MAGETAN;61,72;66,01;63,37;60,66;63,16;62,72
NGAWI;63,44;66,54;61,09;58,79;61,74;62,21
BOJONEGORO;53,71;53,74;50,07;52,69;53,2;54,15
TUBAN;57,01;54,91;55,58;58,5;59,65;62,11
LAMONGAN;59,78;59,86;57,25;59,9;57,17;59,41
GRESIK;59,65;60,84;61,84;64,98;63,05;60,85
BANGKALAN;50,59;47,06;46,38;48,66;49;47,82
SAMPANG;47,27;50,73;51,27;49,45;48,05;44,13
PAMEKASAN;45,27;50,48;51,11;52,52;54,56;51,69
SUMENEP;48,45;53,56;55,08;55,12;51,33;51,55
KOTA KEDIRI;50,38;60,99;54,95;54,7;54,43;63,19
KOTA BLITAR;66,74;68,38;65,46;71,58;71,66;64,84
KOTA MALANG;68,88;67,43;63,14;62,69;63,19;65,16
KOTA PROBOLINGGO;51,1;52,03;58,3;61,21;57,29;61,06
KOTA PASURUAN;52,57;61,35;53,45;52,32;58,34;55,02
KOTA MOJOKERTO;50,87;60,85;58,53;60,42;53,07;60,4
KOTA MADIUN;63,42;65,55;60,58;52,19;55,2;57,58
KOTA SURABAYA;55,65;59,7;56,64;56,06;53,58;55,54
KOTA BATU;63,53;66,5;69,67;63,83;66,86;72,72
